"Cell_ID","Latitude","Longitude","Solar_Radiation","Percent_of_Max"
461,35,105,14425.07,61.76
206,-35,75,14359.86,61.48
298,-5,-85,14326.79,61.34
426,25,115,14297.99,61.22
463,35,125,14265.66,61.08
492,45,55,14241.25,60.97
308,-5,15,14202.22,60.81
177,-45,145,14121.9,60.46
425,25,105,14057.61,60.19
300,-5,-65,14011.42,59.99
499,45,125,13965.93,59.8
180,-45,175,13921.01,59.6
486,45,-5,13808.1,59.12
156,-45,-65,13790.48,59.04
299,-5,-75,13676.47,58.56
127,-54.9,5,13619.04,58.31
30,-83.4,115,13520.49,57.89
32,-83.4,135,13518.93,57.88
31,-83.4,125,13514.5,57.86
67,-74.5,125,13506.24,57.83
33,-83.4,145,13504.53,57.82
29,-83.4,105,13501.02,57.8
66,-74.5,115,13495.15,57.78
21,-83.4,25,13489.72,57.76
68,-74.5,135,13484.39,57.73
28,-83.4,95,13482.45,57.73
22,-83.4,35,13478.9,57.71
27,-83.4,85,13447.5,57.58
63,-74.5,85,13442.57,57.55
26,-83.4,75,13431.06,57.51
69,-74.5,145,13424.57,57.48
65,-74.5,105,13419.77,57.46
23,-83.4,45,13418.78,57.45
474,45,-125,13415.89,57.44
25,-83.4,65,13411.51,57.42
24,-83.4,55,13398.24,57.36
34,-83.4,155,13385.87,57.31
464,35,135,13385.78,57.31
20,-83.4,15,13362.01,57.21
447,35,-35,13358.29,57.19
64,-74.5,95,13332.5,57.08
62,-74.5,75,13288.66,56.9
58,-74.5,35,13265.88,56.8
59,-74.5,45,13258.68,56.77
477,45,-95,13240.65,56.69
145,-45,-175,13221.35,56.61
36,-83.4,175,13195.97,56.5
35,-83.4,165,13172.8,56.4
70,-74.5,155,13171.37,56.39
57,-74.5,25,13164.23,56.36
19,-83.4,5,13135.13,56.24
60,-74.5,55,13122.62,56.18
61,-74.5,65,13092.01,56.05
489,45,25,13089,56.04
56,-74.5,15,13076.2,55.99
55,-74.5,5,12981.92,55.58
226,-25,-85,12949.67,55.44
491,45,45,12928.11,55.35
500,45,135,12925.12,55.34
18,-83.4,-5,12905.69,55.26
190,-35,-85,12856.83,55.05
179,-45,165,12853.1,55.03
307,-5,5,12836.05,54.96
490,45,35,12804.16,54.82
104,-64.8,135,12798.54,54.8
487,45,5,12776.94,54.7
17,-83.4,-15,12747.98,54.58
54,-74.5,-5,12673.02,54.26
16,-83.4,-25,12670.1,54.25
105,-64.8,145,12644.69,54.14
488,45,15,12580.8,53.86
15,-83.4,-35,12578.12,53.85
478,45,-85,12574.27,53.84
479,45,-75,12500.71,53.52
465,35,145,12493.33,53.49
71,-74.5,165,12469.73,53.39
14,-83.4,-45,12424.2,53.19
103,-64.8,125,12388.93,53.04
13,-83.4,-55,12355.84,52.9
96,-64.8,55,12354.16,52.89
100,-64.8,95,12334.64,52.81
12,-83.4,-65,12224.63,52.34
53,-74.5,-15,12208.7,52.27
11,-83.4,-75,12207.44,52.27
95,-64.8,45,12188.99,52.19
99,-64.8,85,12187.77,52.18
480,45,-65,12181.57,52.16
