"Cell_ID","Latitude","Longitude","Precipitation","Percent_of_Max"
247,-25,125,410.71,6.57
569,64.8,105,408.82,6.54
499,45,125,407.38,6.52
379,15,5,406.54,6.5
575,64.8,165,404.04,6.46
543,64.8,-155,402.57,6.44
334,5,-85,401.69,6.43
477,45,-95,393.09,6.29
489,45,25,392.1,6.27
240,-25,55,389.07,6.22
628,83.4,-25,388.86,6.22
552,64.8,-65,387.52,6.2
462,35,115,385.55,6.17
380,15,15,381.1,6.1
202,-35,35,380.93,6.09
320,-5,135,377.28,6.04
624,83.4,-65,377.14,6.03
384,15,55,375.36,6
553,64.8,-55,372.94,5.97
50,-74.5,-45,370.91,5.93
571,64.8,125,370.28,5.92
574,64.8,155,368.6,5.9
539,54.9,165,365.69,5.85
414,25,-5,363.63,5.82
94,-64.8,35,360.41,5.77
464,35,135,359.74,5.75
538,54.9,155,359.26,5.75
265,-15,-55,358.55,5.74
596,74.5,15,355.03,5.68
417,25,25,353.82,5.66
162,-45,-5,348,5.57
449,35,-15,346.21,5.54
371,15,-75,343.43,5.49
586,74.5,-85,340.43,5.45
39,-74.5,-155,339.06,5.42
500,45,135,337.05,5.39
352,5,95,332.55,5.32
576,64.8,175,331.84,5.31
229,-25,-55,324.51,5.19
405,25,-95,323.8,5.18
370,15,-85,319.08,5.1
246,-25,115,318.93,5.1
453,35,25,318.61,5.1
621,83.4,-95,318.25,5.09
479,45,-75,317.07,5.07
303,-5,-35,315.33,5.04
354,5,115,314.4,5.03
490,45,35,312.6,5
570,64.8,115,308.72,4.94
427,25,125,308.29,4.93
378,15,-5,308.27,4.93
319,-5,125,307.07,4.91
119,-54.9,-75,305.68,4.89
177,-45,145,305.44,4.89
426,25,115,303.86,4.86
85,-64.8,-55,302.41,4.84
197,-35,-15,301.6,4.82
248,-25,135,299.6,4.79
123,-54.9,-35,297.2,4.75
447,35,-35,296.75,4.75
547,64.8,-115,295.97,4.73
465,35,145,294.8,4.72
389,15,105,288.97,4.62
399,25,-155,286.29,4.58
515,54.9,-75,286.11,4.58
250,-25,155,286.08,4.58
348,5,55,284.38,4.55
388,15,95,283.38,4.53
292,-5,-145,279.88,4.48
387,15,85,277.7,4.44
422,25,75,277.63,4.44
452,35,15,276.08,4.42
127,-54.9,5,272.5,4.36
448,35,-25,269.29,4.31
355,5,125,269.23,4.31
478,45,-85,267.87,4.29
210,-35,115,267.34,4.28
216,-35,175,264.8,4.24
227,-25,-75,263.95,4.22
336,5,-65,263.92,4.22
441,35,-95,262.01,4.19
413,25,-15,255.5,4.09
403,25,-115,255.1,4.08
342,5,-5,254.6,4.07
548,64.8,-105,251.47,4.02
190,-35,-85,249.5,3.99
513,54.9,-95,242.56,3.88
597,74.5,25,238.19,3.81
213,-35,145,238.03,3.81
206,-35,75,234.33,3.75
528,54.9,55,231.95,3.71
502,45,155,231.54,3.7
302,-5,-45,231.51,3.7
501,45,145,228.83,3.66
343,5,5,228.68,3.66
249,-25,145,228.01,3.65
493,45,65,227.48,3.64
537,54.9,145,226.45,3.62
442,35,-85,223.11,3.57
211,-35,125,220.88,3.53
168,-45,55,219.75,3.52
600,74.5,55,219.53,3.51
372,15,-65,219.19,3.51
283,-15,125,218.67,3.5
517,54.9,-55,216.55,3.46
341,5,-15,214.93,3.44
169,-45,65,209.62,3.35
322,-5,155,209.55,3.35
376,15,-25,209.18,3.35
507,54.9,-155,208.64,3.34
391,15,125,208.56,3.34
293,-5,-135,208,3.33
134,-54.9,75,207.73,3.32
86,-64.8,-45,205.71,3.29
267,-15,-35,203.71,3.26
317,-5,105,200.59,3.21
285,-15,145,200.18,3.2
561,64.8,25,193.18,3.09
518,54.9,-45,190.61,3.05
166,-45,35,189.5,3.03
601,74.5,65,189.19,3.03
541,64.8,-175,188.77,3.02
508,54.9,-145,188.52,3.02
305,-5,-15,187.5,3
318,-5,115,187,2.99
301,-5,-55,185.84,2.97
640,83.4,95,185.49,2.97
337,5,-55,183.13,2.93
633,83.4,25,182.1,2.91
605,74.5,105,182.06,2.91
323,-5,165,181.1,2.9
120,-54.9,-65,180.89,2.89
480,45,-65,179.17,2.87
594,74.5,-5,178.57,2.86
529,54.9,65,177.23,2.84
481,45,-55,176.22,2.82
585,74.5,-95,173.12,2.77
287,-15,165,170.29,2.72
281,-15,105,170,2.72
284,-15,135,168.71,2.7
351,5,85,164.6,2.63
526,54.9,35,164.42,2.63
551,64.8,-75,164.23,2.63
523,54.9,5,164.09,2.63
377,15,-15,162.76,2.6
251,-25,165,160.45,2.57
161,-45,-15,160,2.56
530,54.9,75,159.76,2.56
629,83.4,-15,159.39,2.55
564,64.8,55,157.57,2.52
505,54.9,-175,156.64,2.51
333,5,-95,156.6,2.51
143,-54.9,165,156.38,2.5
297,-5,-95,155.81,2.49
298,-5,-85,154.71,2.47
612,74.5,175,152.98,2.45
367,15,-115,148.17,2.37
542,64.8,-165,147.4,2.36
604,74.5,95,145.86,2.33
506,54.9,-165,144.89,2.32
232,-25,-25,144,2.3
212,-35,135,143.26,2.29
514,54.9,-85,143.25,2.29
583,74.5,-115,142.81,2.28
527,54.9,45,142.14,2.27
443,35,-75,141.95,2.27
607,74.5,125,141.65,2.27
38,-74.5,-165,140.68,2.25
522,54.9,-5,140.48,2.25
463,35,125,140.42,2.25
562,64.8,35,138.29,2.21
550,64.8,-85,138.22,2.21
549,64.8,-95,133.73,2.14
393,15,145,131.52,2.1
540,54.9,175,129.83,2.08
524,54.9,15,129.35,2.07
637,83.4,65,127.62,2.04
288,-15,175,127.42,2.04
525,54.9,25,127.42,2.04
142,-54.9,155,125.6,2.01
636,83.4,55,125.4,2.01
170,-45,75,125,2
582,74.5,-125,122.47,1.96
635,83.4,45,117.44,1.88
353,5,105,115.59,1.85
598,74.5,35,114.71,1.84
277,-15,65,114,1.82
577,74.5,-175,113.54,1.82
606,74.5,115,112.81,1.8
563,64.8,45,112.34,1.8
567,64.8,85,109.48,1.75
92,-64.8,15,107.83,1.73
565,64.8,65,106.71,1.71
276,-15,55,102.11,1.63
286,-15,155,101.35,1.62
224,-25,-105,100,1.6
632,83.4,15,97.79,1.56
373,15,-55,97.75,1.56
350,5,75,97.5,1.56
300,-5,-65,96.41,1.54
49,-74.5,-55,92.68,1.48
253,-15,-175,92.67,1.48
193,-35,-55,87.04,1.39
558,64.8,-5,86.81,1.39
521,54.9,-15,84.71,1.36
492,45,55,83.63,1.34
429,25,145,80.55,1.29
608,74.5,135,79.58,1.27
593,74.5,-15,79.16,1.27
584,74.5,-105,75.49,1.21
390,15,115,72.83,1.17
254,-15,-165,64.41,1.03
603,74.5,85,63.64,1.02
181,-35,-175,62,0.99
316,-5,95,55.3,0.88
566,64.8,75,54.45,0.87
311,-5,45,52.2,0.83
312,-5,55,51.15,0.82
252,-25,175,51,0.82
407,25,-75,50.64,0.81
121,-54.9,-55,50.6,0.81
634,83.4,35,48.37,0.77
145,-45,-175,48.06,0.77
638,83.4,75,46.43,0.74
398,25,-165,44.6,0.71
219,-25,-155,44.38,0.71
307,-5,5,41.29,0.66
255,-15,-155,40,0.64
217,-25,-175,35.11,0.56
220,-25,-145,33.67,0.54
107,-64.8,165,31.58,0.51
639,83.4,85,30.4,0.49
609,74.5,145,25.22,0.4
356,5,135,25,0.4
256,-15,-145,24.74,0.4
610,74.5,155,23.41,0.37
611,74.5,165,23.35,0.37
226,-25,-85,23,0.37
406,25,-85,21.95,0.35
578,74.5,-165,21.38,0.34
428,25,135,21.25,0.34
602,74.5,75,20.69,0.33
579,74.5,-155,19.16,0.31
222,-25,-125,19,0.3
358,5,155,18,0.29
282,-15,115,17.71,0.28
580,74.5,-145,16.3,0.26
444,35,-65,13.25,0.21
257,-15,-135,12.6,0.2
221,-25,-135,11.38,0.18
359,5,165,10.82,0.17
338,5,-45,8.29,0.13
396,15,175,8,0.13
430,25,155,8,0.13
326,5,-165,7.33,0.12
280,-15,95,5.83,0.09
357,5,145,5.81,0.09
324,-5,175,5.69,0.09
397,25,-175,5.25,0.08
314,-5,75,4.86,0.08
291,-5,-155,4.75,0.08
327,5,-155,4.7,0.08
360,5,175,4.64,0.07
325,5,-175,4,0.06
289,-5,-175,3.19,0.05
395,15,165,3.12,0.05
290,-5,-165,3,0.05
362,15,-165,3,0.05
392,15,135,3,0.05
581,74.5,-135,0.7,0.01
620,83.4,-105,0.5,0.01
93,-64.8,25,0,0
122,-54.9,-45,0,0
124,-54.9,-25,0,0
599,74.5,45,0,0
