"Cell_ID","Latitude","Longitude","Wind_Speed","Percent_of_Max"
277,-15,65,4.29,21.48
609,74.5,145,4.29,21.51
523,54.9,5,4.27,21.4
12,-83.4,-65,4.25,21.29
414,25,-5,4.24,21.24
254,-15,-165,4.23,21.21
579,74.5,-155,4.23,21.19
181,-35,-175,4.21,21.09
297,-5,-95,4.21,21.11
384,15,55,4.2,21.07
392,15,135,4.2,21.05
49,-74.5,-55,4.19,21.01
212,-35,135,4.19,20.99
84,-64.8,-65,4.18,20.97
324,-5,175,4.18,20.97
217,-25,-175,4.14,20.73
282,-15,115,4.12,20.66
290,-5,-165,4.09,20.48
440,35,-105,4.09,20.52
593,74.5,-15,4.09,20.48
480,45,-65,4.07,20.38
477,45,-95,4.05,20.29
219,-25,-155,4.02,20.17
553,64.8,-55,4.02,20.17
3,-83.4,-155,4.01,20.1
492,45,55,4,20.04
190,-35,-85,3.99,19.98
501,45,145,3.99,20
251,-25,165,3.98,19.96
415,25,5,3.97,19.9
27,-83.4,85,3.94,19.72
367,15,-115,3.94,19.74
227,-25,-75,3.92,19.63
626,83.4,-45,3.92,19.64
513,54.9,-95,3.91,19.59
547,64.8,-115,3.9,19.56
211,-35,125,3.89,19.47
627,83.4,-35,3.89,19.5
232,-25,-25,3.88,19.47
478,45,-85,3.88,19.47
372,15,-65,3.86,19.34
607,74.5,125,3.86,19.33
508,54.9,-145,3.85,19.31
58,-74.5,35,3.83,19.21
210,-35,115,3.82,19.15
629,83.4,-15,3.82,19.14
30,-83.4,115,3.77,18.88
427,25,125,3.77,18.9
608,74.5,135,3.76,18.86
407,25,-75,3.74,18.74
452,35,15,3.74,18.74
587,74.5,-75,3.74,18.76
222,-25,-125,3.73,18.68
524,54.9,15,3.72,18.66
451,35,5,3.71,18.6
441,35,-95,3.7,18.55
592,74.5,-25,3.7,18.56
358,5,155,3.67,18.38
416,25,15,3.66,18.34
252,-25,175,3.65,18.27
539,54.9,165,3.64,18.25
15,-83.4,-35,3.63,18.19
247,-25,125,3.63,18.21
253,-15,-175,3.6,18.06
357,5,145,3.6,18.03
606,74.5,115,3.6,18.05
314,-5,75,3.59,17.97
512,54.9,-105,3.57,17.88
